fy,month,period,bu,account_code,account_name,account_type,group,sub_group,budget,actual,variance,variance_pct
FY25-26,2025-11,Nov-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2240606,2204154,-36452,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2202977,2269277,66300,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2366865,2227499,-139366,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2466138,2378790,-87348,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4001,Revenue - Software Services (Export),Income,Revenue,Operating revenue,2590724,2499454,-91270,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,636148,603322,-32826,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,665432,631581,-33851,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,695369,708602,13233,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,718785,695678,-23107,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,706285,694747,-11538,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,737595,755822,18227,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,769599,830478,60879,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,772035,879120,107085,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,759069,729153,-29916,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,815539,879932,64393,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,849745,803907,-45838,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,892673,875605,-17068,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,742800,747568,4768,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,776993,803737,26744,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,811949,851780,39831,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,839291,868148,28857,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,824695,874373,49678,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,861254,847265,-13989,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,898624,847287,-51337,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,901468,886802,-14666,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,886329,913003,26674,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,952266,896195,-56071,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,992207,957064,-35143,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4002,Revenue - Annual Maintenance Contracts,Income,Revenue,Operating revenue,1042332,1005611,-36721,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1080072,1024338,-55734,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1129791,1072318,-57473,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1180619,1203086,22467,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1220375,1181143,-39232,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1199152,1179562,-19590,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1252311,1283257,30946,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1306649,1410010,103361,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1310784,1492597,181813,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1288771,1237977,-50794,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1384647,1493975,109328,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1442724,1364898,-77826,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1515608,1486629,-28979,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1261148,1269243,8095,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1319202,1364610,45408,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1378552,1446177,67625,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1424973,1473969,48996,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1400193,1484537,84344,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1462263,1438511,-23752,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1525711,1438550,-87161,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1530539,1505640,-24899,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1504835,1550124,45289,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1616786,1521586,-95200,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1684599,1624932,-59667,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4003,Revenue - Product Licences,Income,Revenue,Operating revenue,1769702,1707356,-62346,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,800670,759354,-41316,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,837527,794921,-42606,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,875206,891861,16655,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,904678,875595,-29083,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,888945,874422,-14523,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,928352,951293,22941,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,968633,1045257,76624,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,971699,1106479,134780,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,955380,917727,-37653,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1026455,1107501,81046,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1069507,1011814,-57693,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1123537,1102055,-21482,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,934903,940905,6002,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,977939,1011601,33662,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1021936,1072067,50131,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1056349,1092670,36321,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1037979,1100504,62525,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1083992,1066385,-17607,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1131027,1066414,-64613,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1134606,1116148,-18458,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1115552,1149125,33573,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1198542,1127969,-70573,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1248812,1204580,-44232,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4004,Revenue - SaaS Subscriptions,Income,Revenue,Operating revenue,1311900,1265683,-46217,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1627440,1543461,-83979,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1702355,1615756,-86599,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1778943,1812796,33853,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1838846,1779732,-59114,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1806869,1777349,-29520,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1886967,1933596,46629,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1968842,2124586,155744,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1975074,2249027,273953,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1941904,1865369,-76535,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2086370,2251104,164734,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2173879,2056611,-117268,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2283700,2240035,-43665,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1900283,1912481,12198,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,1987758,2056177,68419,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2077186,2179082,101896,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2147132,2220958,73826,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2109793,2236882,127089,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2203320,2167532,-35788,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2298922,2167590,-131332,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2306199,2268680,-37519,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2267468,2335709,68241,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2436154,2292708,-143446,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2538333,2448428,-89905,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4005,Revenue - Implementation & Consulting,Income,Revenue,Operating revenue,2666566,2572624,-93942,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,696736,660783,-35953,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,728808,691734,-37074,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,761597,776090,14493,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,787243,761935,-25308,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,773553,760915,-12638,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,807844,827807,19963,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,842896,909573,66677,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,845564,962848,117284,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,831364,798598,-32766,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,893212,963737,70525,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,930676,880472,-50204,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,977692,958999,-18693,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,813545,818767,5222,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,850994,880286,29292,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,889280,932904,43624,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,919225,950832,31607,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,903240,957649,54409,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,943281,927959,-15322,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,984209,927984,-56225,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,987325,971262,-16063,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,970743,999958,29215,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,1042961,981549,-61412,-5.9
FY25-26,2026-02,Feb-2026,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,1086705,1048215,-38490,-3.5
FY25-26,2026-03,Mar-2026,Digital Engineering,4006,Revenue - Managed Services,Income,Revenue,Operating revenue,1141604,1101386,-40218,-3.5
FY24-25,2024-04,Apr-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,989900,938819,-51081,-5.2
FY24-25,2024-05,May-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1035468,982793,-52675,-5.1
FY24-25,2024-06,Jun-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1082053,1102644,20591,1.9
FY24-25,2024-07,Jul-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1118489,1082533,-35956,-3.2
FY24-25,2024-08,Aug-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1099039,1081084,-17955,-1.6
FY24-25,2024-09,Sep-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1147759,1176122,28363,2.5
FY24-25,2024-10,Oct-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1197560,1292293,94733,7.9
FY24-25,2024-11,Nov-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1201351,1367985,166634,13.9
FY24-25,2024-12,Dec-2024,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1181175,1134622,-46553,-3.9
FY24-25,2025-01,Jan-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1269047,1369248,100201,7.9
FY24-25,2025-02,Feb-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1322275,1250946,-71329,-5.4
FY24-25,2025-03,Mar-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1389074,1362515,-26559,-1.9
FY25-26,2025-04,Apr-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1155859,1163278,7419,0.6
FY25-26,2025-05,May-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1209066,1250682,41616,3.4
FY25-26,2025-06,Jun-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1263461,1325440,61979,4.9
FY25-26,2025-07,Jul-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1306006,1350911,44905,3.4
FY25-26,2025-08,Aug-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1283295,1360597,77302,6.0
FY25-26,2025-09,Sep-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1340183,1318414,-21769,-1.6
FY25-26,2025-10,Oct-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1398334,1318450,-79884,-5.7
FY25-26,2025-11,Nov-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1402759,1379938,-22821,-1.6
FY25-26,2025-12,Dec-2025,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1379201,1420709,41508,3.0
FY25-26,2026-01,Jan-2026,Digital Engineering,4010,Sales Returns & Allowances,Income,Revenue,Operating revenue,1481805,1394554,-87251,-5.9
